10000001111001110000110010001001 11010011111101011100010111110101 00000110000101
00110101101101111000101001000100 11010000010100000001001110000100 00001100111110
01011010111100011011100000101110 01110110100100000000111010010001 00010011001000
10010000111110111100000011011100 01000101110101011110000010000011 00010110110010
10110111100110110001101001111111 01000001000101010010110001010101 00011011101010
00100101010000000011101111101001 11001100001110001011001001000111 00100010110010
10110010001001100100010001100101 00111100111010010011110100010011 00101001000100
01000010010000100011010111000001 01110111011010000010100110101111 00101010111101
00011001101010100010011111000001 00101110011110010101110001000011 00101110110110
01011000000111011011111111100101 11111101110100001001011000000111 00111000010101
00100010111000001001001010010010 00110101101010000001111110100111 00111011101000
11110110001011100111000110001101 01010010110010001001101101001001 01000010010100
00100000010111101100100101010111 01001000101111000101010111101110 01001000100101
10010111110000101001001110011010 00011110100100011010101000101001 01001101010111
01110100011101000000111001110111 00011101110110011110101110111101 01010100110110
11001010101101001000010111111110 00100011000100010011110000101111 01011110011000
11011110010000001001001111111111 10100100111111100010000101110101 00000111110100
01100100011111010101111000110111 00101110011110100100110011111110 00001100000110
00001011101011000011101100111110 01100011010111100100011010000011 00001111111100
01111100101011010000111100100001 10000010010100000111001101111001 00010100011011
00011000000010100010000000001000 01000110100011100111010010110010 00011011001011
11100000110011000011100110001100 00001100001000101010110100110100 00100100010101
00111010101000000001100001010011 01110011101010100101101101100011 00100110101011
00101000000101000001111100100000 10111101000101011111011110110111 00101110110000
11110100101011010100111100010011 01101001110110000010000000101010 00110010101100
01100111001001111100110101010001 00111110101111110011000000110010 00111000101001
10111111111110000111010110011111 00001000000000000101000101101000 01000000110011
01001010001000111110000010100100 11101111100100101111000000100001 01000111011010
01110010111101101001000010001000 00011001110100101101110111011101 01001011111001
10101010001110101011111100111011 00110100011000110000110001110010 01010010000010
00010111101001111100000111001000 00101010001100111111000001111100 01010110000100
11010101101001001110010010011001 00110001000010011110100001011111 01011100000001
10000101110100110011001011110101 10111110101110011101001001011110 00000110001010
00101100101100010011000010001111 11001100010010100111111100001001 00001101100110
10011101111111001110110000000110 11001110000110101110000110010101 00010100010011
01110110110111110000001011101001 00001001111010100111000000110001 00011010110001
01111110101111011001011001010000 11001001011100001111110101110011 00011111010011
00001100101111000001001011001100 01111110000010111111111000010000 00101010011110
10111001001011011101000010111000 10110000100011100100100001110000 00101111011000
01000000111110110001111101001110 11001100111110111110000110111110 00110110010110
01101110010001101100010010111001 11100000110001100010011000101011 00111110110100
00111000000100101000111001101001 10000010011011011011110101011111 01000010010010
00010100000000101000011101101101 00101101000101001100110010010101 01000100101010
00110000001100111010101101100010 11100011011011111000110111111110 01001011010011
11000000011101110101101010011101 10101111111111011101010111011111 01010000100111
11001101101101000101001000100010 01010101011000101111110001011011 01010111010100
01011101110101001001101110010001 01000000000001011010100111011100 01011100011001
11110110011011011101100001101101 10011111101000101000101110000010 01100000000111
11000100000111000100100011100110 01101100011001101111111010011110 00000110100000
00111111001001111110001101100000 01111101111010010001101001011000 00001101110001
01010000101111011011000001000010 00110011101101111000001011110001 00010001110001
01100111000000000010111011101010 00110000011111011101011001011110 00011001011001
11011001011001000001110100110011 10010101100110111110001100010111 00011110110110
01111010100111000001110001101111 10111110001000000000011111001110 00100011101010
01110010101000111110011001001111 00110010111010111100100110001000 00100111001000
11000100100011000111011111010111 10010101011001111110111010010010 00101011011000
10011110011110000000110110010100 11100011001001001000110111110001 00110001001110
